Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,MeanLoss,MeanPCC,DiffLoss,DiffPCC,Dist
models/GRU/2020-08-31_10-37-50,48,Mean,0.6125186887,0.6030513817,0.8507714853,0.7556668796,0.7469444983,0.6108365645,5,0.0001,0.6108365645,0,0.6887805186,0.7044826475,0.2477201036,0.1448303151,0.80255229
models/GRU/2020-08-31_11-22-20,48,Mean,0.4673632796,0.5217895991,0.8007017685,0.8664367095,0.8187269611,0.6503891801,14,0.0001,0.6531537237,1,0.5966182157,0.7785176169,0.3333384889,0.2160475293,0.7501991899
models/GRU/2020-08-31_12-07-23,48,Mean,0.4528054757,0.5319360129,0.7661675229,0.8751421329,0.8102481353,0.6802242115,16,0.0001,0.6802242115,2,0.5836363372,0.7885381599,0.3133620472,0.1949179214,0.722174669
models/GRU/2020-08-31_12-51-57,48,Mean,0.4857982142,0.5245192109,0.796414306,0.8545090055,0.817572125,0.6646250965,14,0.0001,0.6646250965,3,0.6022439104,0.7789020756,0.3106160918,0.189883909,0.7376450875
models/GRU/2020-08-31_13-36-51,48,Mean,0.47576668,0.530198459,0.7818486195,0.8611416131,0.8105948829,0.6703961118,14,0.0001,0.677877916,4,0.5959379195,0.7807108693,0.3060819395,0.1907455013,0.7302737341
models/GRU/2020-08-31_14-21-55,48,Mean,0.4009315896,0.506093058,0.798293826,0.90358014,0.8315790858,0.648351204,23,0.0001,0.6571046261,5,0.5684394912,0.7945034766,0.3973622364,0.255228936,0.7670663811
models/GRU/2020-08-31_21-44-43,48,Mean,0.373691114,0.4937755775,0.7502869227,0.9169407444,0.8388728905,0.6947130278,26,0.0001,0.6958370203,6,0.5392512047,0.8168422209,0.3765958087,0.2222277167,0.7180168487
models/GRU/2020-08-31_15-52-40,48,Mean,0.5659594041,0.5848382291,0.8034218399,0.7960366958,0.7653745634,0.6390800727,8,0.0001,0.6470936733,7,0.6514064911,0.7334971106,0.2374624358,0.1569566231,0.7591956247
models/GRU/2020-08-31_16-44-28,48,Mean,0.5354812584,0.5706439915,0.7787282268,0.8197738651,0.7811357119,0.6715681452,9,0.0001,0.6732853843,8,0.6282844922,0.7574925741,0.2432469683,0.1482057199,0.7312217706
models/GRU/2020-08-31_17-33-52,48,Mean,0.5468155863,0.5713330076,0.853908212,0.8112376687,0.7787735149,0.5954527573,9,0.0001,0.6055757043,9,0.6573522686,0.7284879803,0.3070926257,0.2157849114,0.8041764674
models/GRU/2020-08-31_18-19-09,48,Mean,0.6090437989,0.609152798,0.78716969,0.7587851536,0.7394125835,0.6574604566,5,0.0001,0.6574604566,10,0.668455429,0.7185527312,0.1781258911,0.101324697,0.7536847835
models/GRU/2020-08-31_19-04-00,48,Mean,0.5019861372,0.5629519935,0.8396510848,0.8437956482,0.7839574567,0.6118428605,11,0.0001,0.6118428605,11,0.6348630718,0.7465319885,0.3376649476,0.2319527877,0.796942197
models/GRU/2020-08-31_19-48-48,48,Mean,0.4544381083,0.5124227721,0.7616985832,0.8741439499,0.8239655836,0.6824089013,18,0.0001,0.6935801598,12,0.5761864878,0.7935061449,0.3072604749,0.1917350486,0.7111975177
