Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,MeanLoss,MeanPCC,DiffLoss,DiffPCC,Dist
models/FCN/2020-06-21_04-55-09TO_TEST_SOURCE,4831,MeanOS,0.50353218,0.524569702,0.650461124,0.847905611,0.830867617,0.810377317,219,0.0001,0.816655862,47,0.559521002,0.829716848,0.146928944,0.037528294,0.604199132
models/FCN/2020-06-21_05-04-04TO_TEST_SOURCE,4831,MeanOS,0.543828788,0.542903626,0.666893364,0.818120716,0.827882558,0.804222282,190,0.0001,0.829332614,48,0.584541926,0.816741852,0.123989738,0.023660276,0.625464688
models/FCN/2020-06-21_05-13-02TO_TEST_SOURCE,4831,MeanOS,0.449574158,0.470900946,0.550378358,0.881648899,0.858790202,0.852143555,476,0.0001,0.852543166,49,0.490284487,0.864194219,0.1008042,0.029505344,0.51947487
models/FCN/2020-06-21_05-22-10TO_TEST_SOURCE,4831,MeanOS,0.494174724,0.509772764,0.645664588,0.853419147,0.854231752,0.809106231,426,0.0001,0.824220191,50,0.549870692,0.838919043,0.151489864,0.045125521,0.594382321
models/FCN/2020-06-21_05-31-10TO_TEST_SOURCE,4831,MeanOS,0.492141185,0.494148417,0.616914047,0.853994572,0.857649906,0.81674625,475,0.0001,0.830432874,51,0.534401216,0.842796909,0.124772862,0.040903656,0.572310098
models/FCN/2020-06-21_05-40-25TO_TEST_SOURCE,4831,MeanOS,0.542085661,0.559490793,0.623873524,0.819593269,0.810853318,0.820362131,254,0.0001,0.832343549,52,0.575149993,0.816936239,0.081787863,0.009508813,0.60917118
models/FCN/2020-06-21_05-49-35TO_TEST_SOURCE,4831,MeanOS,0.513833808,0.536488577,0.648189585,0.841468321,0.816454265,0.797093505,187,0.0001,0.810941928,53,0.566170657,0.818338697,0.134355777,0.044374816,0.611204254
models/FCN/2020-06-21_05-58-37TO_TEST_SOURCE,4831,MeanOS,0.560919458,0.570279842,0.666424263,0.805917234,0.799093768,0.79382563,245,0.0001,0.820424023,54,0.599207854,0.799612211,0.105504805,0.012091604,0.640689308
models/FCN/2020-06-21_06-07-34TO_TEST_SOURCE,4831,MeanOS,0.523697981,0.522927929,0.640787272,0.832115172,0.84616233,0.800387119,294,0.0001,0.823934096,55,0.562471061,0.82622154,0.117859343,0.045775211,0.602128592
models/FCN/2020-06-21_06-16-46TO_TEST_SOURCE,4831,MeanOS,0.491538763,0.558131946,0.619832581,0.855472443,0.817187025,0.819242164,272,0.0001,0.828961707,56,0.556501097,0.830633877,0.128293818,0.038285418,0.596911577
models/FCN/2020-06-21_06-25-55TO_TEST_SOURCE,4831,MeanOS,0.526323026,0.527941063,0.649284287,0.835134393,0.825296549,0.805220324,345,0.0001,0.840440719,57,0.567849459,0.821883755,0.122961261,0.029914069,0.608434653
models/FCN/2020-06-21_06-35-06TO_TEST_SOURCE,4831,MeanOS,0.540272277,0.575740901,0.583852993,0.823244838,0.788507367,0.832947645,215,0.0001,0.837081131,58,0.566622057,0.81489995,0.043580716,0.044440278,0.599330294
models/FCN/2020-06-21_06-44-15TO_TEST_SOURCE,4831,MeanOS,0.527451965,0.532651393,0.663688,0.832238432,0.826933746,0.811433993,326,0.0001,0.836662399,59,0.574597119,0.82353539,0.136236035,0.020804439,0.616680379
models/FCN/2020-06-21_06-53-26TO_TEST_SOURCE,4831,MeanOS,0.533729018,0.552027872,0.637533495,0.826543754,0.813193567,0.808786441,221,0.0001,0.833390496,60,0.574430128,0.816174587,0.103804477,0.017757313,0.612251947
models/FCN/2020-06-21_07-02-22TO_TEST_SOURCE,4831,MeanOS,0.513563634,0.512401123,0.64116664,0.841535019,0.839168662,0.811591607,264,0.0001,0.819200755,61,0.555710466,0.830765096,0.128765517,0.029943412,0.595761479
models/FCN/2020-06-21_07-11-26TO_TEST_SOURCE,4831,MeanOS,0.581781148,0.554036958,0.661206069,0.791013166,0.794431554,0.803589702,197,0.0001,0.807377672,62,0.599008058,0.796344807,0.107169111,0.012576536,0.641817325
models/FCN/2020-06-21_07-20-26TO_TEST_SOURCE,4831,MeanOS,0.543695249,0.538815921,0.697660625,0.822399616,0.795509205,0.775664256,157,0.0001,0.792976199,63,0.593390598,0.797857692,0.158844704,0.04673536,0.648374698
models/FCN/2020-06-21_07-29-25TO_TEST_SOURCE,4831,MeanOS,0.499513949,0.544449819,0.629294225,0.850099936,0.82153928,0.812944779,239,0.0001,0.842397239,64,0.557752664,0.828194665,0.129780276,0.037155157,0.599022983
models/FCN/2020-06-21_07-38-43TO_TEST_SOURCE,4831,MeanOS,0.461716981,0.500995822,0.652249685,0.876493561,0.849031898,0.788692084,438,0.0001,0.833107083,65,0.538320829,0.838072514,0.190532704,0.087801477,0.60001803
models/FCN/2020-06-21_07-47-54TO_TEST_SOURCE,4831,MeanOS,0.484037811,0.503683431,0.63900727,0.858684834,0.85892411,0.805996229,460,0.0001,0.827430152,66,0.542242837,0.841201724,0.154969459,0.052927881,0.588269565
models/FCN/2020-06-21_07-57-22TO_TEST_SOURCE,4831,MeanOS,0.541885376,0.550986468,0.637610841,0.817519684,0.838721836,0.817999048,311,0.0001,0.829889433,67,0.576827562,0.824746856,0.095725465,0.021202152,0.610783592
models/FCN/2020-06-21_08-05-57TO_TEST_SOURCE,4831,MeanOS,0.5182161,0.553971395,0.630954515,0.838498881,0.806935941,0.803835978,240,0.0001,0.840322352,68,0.567714003,0.8164236,0.112738415,0.034662903,0.608203051
models/FCN/2020-06-21_08-13-36TO_TEST_SOURCE,4831,MeanOS,0.467220469,0.500370359,0.620837996,0.870078374,0.858671591,0.814347702,326,0.0001,0.836213833,69,0.529476275,0.847699222,0.153617527,0.055730672,0.574669387
models/FCN/2020-06-21_08-21-17TO_TEST_SOURCE,4831,MeanOS,0.544738722,0.551720433,0.632061759,0.818309847,0.816344237,0.810613065,260,0.0001,0.827501285,70,0.576173638,0.81508905,0.087323037,0.007696782,0.61143493
models/FCN/2020-06-21_08-29-25TO_TEST_SOURCE,4831,MeanOS,0.536243607,0.561165418,0.656212617,0.826639952,0.795425037,0.791967841,226,0.0001,0.820401564,71,0.584540547,0.80467761,0.11996901,0.034672111,0.6288348
models/FCN/2020-06-21_08-37-59TO_TEST_SOURCE,4831,MeanOS,0.538802382,0.545687689,0.64495953,0.823028622,0.816253815,0.800165736,264,0.0001,0.832877821,72,0.5764832,0.813149391,0.106157148,0.022862886,0.615660687
models/FCN/2020-06-21_08-46-42TO_TEST_SOURCE,4831,MeanOS,0.528854594,0.519547773,0.635168881,0.830212509,0.83316855,0.813551648,218,0.0001,0.827527656,73,0.561190416,0.825644236,0.115621108,0.019616902,0.59923925
models/FCN/2020-06-21_08-55-25TO_TEST_SOURCE,4831,MeanOS,0.554867389,0.579738623,0.607243197,0.810220017,0.795172431,0.830685,222,0.0001,0.846772,74,0.580616403,0.812025816,0.052375808,0.035512569,0.61355853
models/FCN/2020-06-21_09-04-22TO_TEST_SOURCE,4831,MeanOS,0.494186949,0.509220931,0.625410647,0.854862117,0.843895071,0.812424233,282,0.0001,0.818147236,75,0.542939509,0.837060474,0.131223698,0.042437884,0.583398005
models/FCN/2020-06-21_09-13-14TO_TEST_SOURCE,4831,MeanOS,0.538751749,0.550451751,0.609283647,0.822516922,0.816653127,0.822783507,229,0.0001,0.848376289,76,0.566162382,0.820651185,0.070531898,0.00613038,0.598095453
models/FCN/2020-06-21_09-22-06TO_TEST_SOURCE,4831,MeanOS,0.550271593,0.579788668,0.640720682,0.814558187,0.788397381,0.806545136,201,0.0001,0.838185836,77,0.590260314,0.803166901,0.090449089,0.026160806,0.629297968
models/FCN/2020-06-21_09-30-55TO_TEST_SOURCE,4831,MeanOS,0.514813373,0.549130256,0.664406487,0.841477037,0.80722587,0.805562396,288,0.0001,0.83673143,78,0.576116705,0.818088434,0.149593114,0.035914641,0.623434228
models/FCN/2020-06-21_09-39-54TO_TEST_SOURCE,4831,MeanOS,0.541204018,0.531435874,0.686723304,0.82211958,0.820816467,0.791417834,176,0.0001,0.810913191,79,0.586454399,0.811451294,0.15528743,0.030701746,0.636031571
models/FCN/2020-06-21_09-48-49TO_TEST_SOURCE,4831,MeanOS,0.544426469,0.526757976,0.666179549,0.819472925,0.824494209,0.789584571,274,0.0001,0.819644686,80,0.579121331,0.811183902,0.139421573,0.034909638,0.625851495
